Client ID;Name;Age;Gender;Region;Service Type;Service Description;Start Date;End Date;Duration (days);Service Cost;Financial Aid;Status;Feedback
1014;Fatima El Fassi;58;M;Tétouan;Education Support;Education Support - Character full someone bit.;2025-04-15;2025-08-17;124;241952;124800;Ongoing;N/A
1014;Fatima El Fassi;58;M;Tétouan;Housing Finance;Housing Finance - With professional.;2024-12-25;2025-04-04;100;379829;251497;Pending;5/5
1014;Fatima El Fassi;58;M;Tétouan;Travel & Leisure;Travel & Leisure - Free suddenly color cover.;2025-04-25;2025-10-06;164;124125;108565;Ongoing;5/5
1015;Amina El Idrissi;50;F;Tanger;Sports Program;Sports Program - Project generation whom.;2025-01-12;2025-06-15;154;262176;89185;Pending;5/5
1015;Amina El Idrissi;50;F;Tanger;Housing Finance;Housing Finance - Where bed.;2025-04-13;2025-05-03;20;39805;18990;Ongoing;N/A
1015;Amina El Idrissi;50;F;Tanger;Sports Program;Sports Program - Hit form listen.;2024-09-13;2024-10-11;28;1328;740;Completed;4/5
1015;Amina El Idrissi;50;F;Tanger;Sports Program;Sports Program - Save middle.;2025-05-06;2025-09-01;118;101049;76058;Completed;5/5
1016;Amina Hajji;31;M;Tanger;Housing Finance;Housing Finance - Soldier big job.;2024-12-31;2025-01-08;8;74392;46289;Completed;4/5
1016;Amina Hajji;31;M;Tanger;Education Support;Education Support - Music seem continue article.;2025-03-10;2025-08-12;155;139718;119564;Pending;N/A
1016;Amina Hajji;31;M;Tanger;Medical Aid;Medical Aid - Clearly dinner follow fall.;2024-08-05;2024-09-09;35;264449;226206;Ongoing;5/5
1016;Amina Hajji;31;M;Tanger;Cultural Access;Cultural Access - Card expert according.;2025-01-24;2025-06-17;144;349919;249479;Pending;5/5
1017;Nadia Benali;25;F;Rabat;Sports Program;Sports Program - Set ahead own leg.;2025-03-14;2025-08-13;152;361689;223420;Rejected;4/5
1017;Nadia Benali;25;F;Rabat;Sports Program;Sports Program - Option enter city.;2025-04-11;2025-10-05;177;224562;120350;Pending;3/5
1017;Nadia Benali;25;F;Rabat;Medical Aid;Medical Aid - Drive building glass.;2024-09-17;2024-12-25;99;11448;3998;Ongoing;4/5
1017;Nadia Benali;25;F;Rabat;Medical Aid;Medical Aid - Million whole.;2024-09-04;2025-02-25;174;268302;221728;Pending;5/5
1018;Khadija El Fassi;37;F;El Jadida;Housing Finance;Housing Finance - Point professor more home challenge.;2024-08-27;2024-11-27;92;48283;27945;Rejected;5/5
1018;Khadija El Fassi;37;F;El Jadida;Travel & Leisure;Travel & Leisure - Eye seat effort.;2024-10-18;2025-03-30;163;308522;199622;Rejected;4/5
1018;Khadija El Fassi;37;F;El Jadida;Travel & Leisure;Travel & Leisure - Science individual attention at.;2024-08-08;2024-12-09;123;119371;104950;Ongoing;4/5
1018;Khadija El Fassi;37;F;El Jadida;Travel & Leisure;Travel & Leisure - Against bill go.;2025-01-09;2025-06-08;150;2708;1965;Ongoing;3/5
1019;Youssef Hajji;52;F;Marrakech;Travel & Leisure;Travel & Leisure - Indicate kind yet represent.;2025-02-01;2025-02-08;7;469348;200948;Completed;5/5
1019;Youssef Hajji;52;F;Marrakech;Sports Program;Sports Program - Audience rule drop herself lead.;2025-03-19;2025-05-31;73;125233;48017;Ongoing;N/A
1019;Youssef Hajji;52;F;Marrakech;Travel & Leisure;Travel & Leisure - Not return window.;2025-01-21;2025-04-12;81;416451;343290;Rejected;N/A
1019;Youssef Hajji;52;F;Marrakech;Sports Program;Sports Program - Major age difference that make.;2024-10-26;2025-02-02;99;338617;129357;Rejected;5/5
1020;Khadija Benali;45;M;El Jadida;Cultural Access;Cultural Access - Player hit perform.;2024-09-22;2025-03-04;163;254264;160943;Ongoing;5/5
1020;Khadija Benali;45;M;El Jadida;Sports Program;Sports Program - High word but.;2025-05-26;2025-07-13;48;288026;137862;Ongoing;4/5
1020;Khadija Benali;45;M;El Jadida;Travel & Leisure;Travel & Leisure - Record thus.;2025-04-06;2025-09-12;159;363938;180487;Ongoing;3/5
1021;Abdelilah Bouhadi;46;M;Meknès;Cultural Access;Cultural Access - Expect no.;2025-03-01;2025-06-07;98;175986;141651;Completed;N/A
1021;Abdelilah Bouhadi;46;M;Meknès;Medical Aid;Medical Aid - To friend political.;2024-12-28;2025-06-23;177;225915;152113;Ongoing;4/5
1021;Abdelilah Bouhadi;46;M;Meknès;Housing Finance;Housing Finance - High sport none.;2025-01-20;2025-04-12;82;409565;320572;Ongoing;N/A
1021;Abdelilah Bouhadi;46;M;Meknès;Housing Finance;Housing Finance - Board mean weight administration.;2025-03-09;2025-04-26;48;108421;79051;Ongoing;5/5
1022;Zineb Hajji;22;M;Tanger;Housing Finance;Housing Finance - Current always natural.;2024-08-05;2024-10-09;65;59058;28437;Ongoing;N/A
1022;Zineb Hajji;22;M;Tanger;Travel & Leisure;Travel & Leisure - Establish drug.;2024-12-05;2025-04-30;146;305282;239431;Ongoing;4/5
1022;Zineb Hajji;22;M;Tanger;Education Support;Education Support - Million guy seem make.;2024-10-18;2024-12-14;57;264520;86486;Rejected;5/5
1023;Fatima Amrani;33;F;Fès;Sports Program;Sports Program - Choose finally war.;2025-04-30;2025-06-03;34;286276;182300;Completed;N/A
1023;Fatima Amrani;33;F;Fès;Sports Program;Sports Program - Capital lawyer.;2024-07-07;2024-12-27;173;232690;174184;Pending;3/5
1023;Fatima Amrani;33;F;Fès;Education Support;Education Support - Study threat perform think three.;2025-03-12;2025-03-21;9;55632;26181;Pending;5/5
1023;Fatima Amrani;33;F;Fès;Education Support;Education Support - Nice be.;2024-08-24;2024-09-18;25;138471;89034;Completed;5/5
1024;Rachid Alaoui;48;M;Agadir;Sports Program;Sports Program - Represent we.;2025-03-05;2025-06-24;111;318725;184168;Rejected;4/5
1024;Rachid Alaoui;48;M;Agadir;Education Support;Education Support - Life view we them later.;2024-09-27;2025-01-07;102;39404;25818;Ongoing;4/5
1024;Rachid Alaoui;48;M;Agadir;Education Support;Education Support - Student American threat.;2024-07-31;2024-09-17;48;408929;130582;Ongoing;5/5
1025;Anas Amrani;30;M;Oujda;Education Support;Education Support - Lot good yet.;2025-04-04;2025-09-11;160;111793;60260;Ongoing;4/5
1025;Anas Amrani;30;M;Oujda;Cultural Access;Cultural Access - Interview million suffer last none.;2025-06-13;2025-09-22;101;496107;325062;Pending;3/5
1025;Anas Amrani;30;M;Oujda;Education Support;Education Support - She body return main.;2024-12-05;2025-05-26;172;470385;198838;Ongoing;5/5
1025;Anas Amrani;30;M;Oujda;Education Support;Education Support - Environmental me dog.;2024-11-29;2025-02-09;72;78623;65746;Pending;3/5
1026;Samira Bennani;52;M;Rabat;Housing Finance;Housing Finance - Exactly away source.;2024-11-11;2025-01-07;57;2259;875;Ongoing;N/A
1026;Samira Bennani;52;M;Rabat;Cultural Access;Cultural Access - Whatever best poor.;2025-03-05;2025-04-26;52;240047;95296;Pending;4/5
1026;Samira Bennani;52;M;Rabat;Housing Finance;Housing Finance - Chair culture.;2025-01-04;2025-03-15;70;167903;97623;Ongoing;N/A
1026;Samira Bennani;52;M;Rabat;Medical Aid;Medical Aid - Red newspaper interesting.;2025-05-12;2025-07-18;67;318254;270057;Rejected;3/5
1027;Khadija Bouhadi;31;M;Agadir;Travel & Leisure;Travel & Leisure - Human off agree write.;2025-05-08;2025-07-14;67;182636;105419;Ongoing;4/5
1027;Khadija Bouhadi;31;M;Agadir;Education Support;Education Support - Right instead because take.;2025-04-21;2025-05-03;12;477809;303411;Pending;4/5
1027;Khadija Bouhadi;31;M;Agadir;Housing Finance;Housing Finance - Consider few.;2025-06-26;2025-12-08;165;337842;279237;Ongoing;3/5
1028;Abdelilah Berrada;64;M;Tanger;Education Support;Education Support - Their second edge.;2024-12-14;2025-04-10;117;483148;359625;Pending;N/A
1028;Abdelilah Berrada;64;M;Tanger;Education Support;Education Support - Call box always front.;2025-01-18;2025-06-28;161;315896;131604;Rejected;N/A
1028;Abdelilah Berrada;64;M;Tanger;Sports Program;Sports Program - Actually choice scientist across.;2024-07-06;2024-10-15;101;244790;191708;Ongoing;3/5
1029;Nadia Benali;38;F;Fès;Education Support;Education Support - Wear hundred think computer reality.;2024-07-11;2024-12-27;169;483434;379410;Pending;4/5
1029;Nadia Benali;38;F;Fès;Housing Finance;Housing Finance - Effect wife.;2025-04-14;2025-09-15;154;407748;169483;Rejected;N/A
1029;Nadia Benali;38;F;Fès;Travel & Leisure;Travel & Leisure - Then control war.;2024-07-13;2024-08-07;25;93042;28415;Rejected;4/5
1029;Nadia Benali;38;F;Fès;Cultural Access;Cultural Access - Give remain in she guy.;2024-08-17;2025-01-05;141;317238;148105;Pending;5/5
1030;Fatima Amrani;49;F;Agadir;Housing Finance;Housing Finance - Southern four.;2024-09-08;2025-01-22;136;135399;63007;Completed;5/5
1030;Fatima Amrani;49;F;Agadir;Travel & Leisure;Travel & Leisure - Free record again.;2024-11-01;2025-01-17;77;59551;28812;Completed;4/5
1030;Fatima Amrani;49;F;Agadir;Education Support;Education Support - Girl debate mission whole.;2024-08-28;2025-02-01;157;156863;49229;Ongoing;4/5
1031;Nadia Alaoui;36;F;El Jadida;Travel & Leisure;Travel & Leisure - Everything call me enter.;2024-07-31;2024-09-25;56;231799;154480;Rejected;4/5
1031;Nadia Alaoui;36;F;El Jadida;Housing Finance;Housing Finance - Manager ten grow.;2024-12-22;2025-03-05;73;338918;301332;Ongoing;5/5
1031;Nadia Alaoui;36;F;El Jadida;Housing Finance;Housing Finance - Never employee often yourself.;2025-05-09;2025-08-17;100;412261;205047;Pending;3/5
1031;Nadia Alaoui;36;F;El Jadida;Cultural Access;Cultural Access - Activity public idea color.;2025-01-25;2025-07-05;161;50085;26558;Ongoing;N/A
1032;Salma Hajji;41;F;Fès;Sports Program;Sports Program - Say form.;2024-10-01;2024-11-17;47;88940;67703;Ongoing;4/5
1032;Salma Hajji;41;F;Fès;Education Support;Education Support - Material outside event.;2024-12-29;2025-04-22;114;314345;224616;Rejected;4/5
1032;Salma Hajji;41;F;Fès;Housing Finance;Housing Finance - Significant main.;2024-09-20;2025-01-07;109;55010;44785;Rejected;N/A
1033;Imane Bennani;45;F;Fès;Travel & Leisure;Travel & Leisure - World important.;2024-12-08;2025-04-09;122;255365;138468;Ongoing;N/A
1033;Imane Bennani;45;F;Fès;Housing Finance;Housing Finance - Wrong senior use we whether.;2025-02-11;2025-07-01;140;347671;233107;Ongoing;N/A
1033;Imane Bennani;45;F;Fès;Sports Program;Sports Program - Drop see future enter.;2025-01-07;2025-02-03;27;495050;300150;Completed;3/5
1034;Amina El Idrissi;49;M;Tétouan;Sports Program;Sports Program - Other watch pass.;2024-12-09;2025-04-14;126;243294;176458;Completed;N/A
1034;Amina El Idrissi;49;M;Tétouan;Education Support;Education Support - Mrs effect institution wish decade.;2024-07-05;2024-10-11;98;224004;131816;Ongoing;4/5
1034;Amina El Idrissi;49;M;Tétouan;Travel & Leisure;Travel & Leisure - Memory check off.;2025-02-20;2025-08-06;167;237599;86434;Completed;5/5
1034;Amina El Idrissi;49;M;Tétouan;Education Support;Education Support - View feel military four.;2024-07-31;2024-12-15;137;254709;135111;Pending;N/A
1035;Fatima Bennani;55;F;Agadir;Sports Program;Sports Program - Report to mention ok.;2024-11-29;2025-04-15;137;99199;70169;Ongoing;3/5
1035;Fatima Bennani;55;F;Agadir;Cultural Access;Cultural Access - Test medical build both imagine.;2025-04-29;2025-09-01;125;446480;363531;Rejected;N/A
1035;Fatima Bennani;55;F;Agadir;Travel & Leisure;Travel & Leisure - Fast single man firm.;2025-04-16;2025-05-29;43;392332;197347;Completed;4/5
1035;Fatima Bennani;55;F;Agadir;Cultural Access;Cultural Access - Join focus voice.;2024-07-09;2024-08-13;35;258227;143035;Completed;N/A
1036;Amina El Fassi;63;M;Oujda;Education Support;Education Support - Black method.;2024-10-19;2024-12-05;47;102725;84867;Pending;N/A
1036;Amina El Fassi;63;M;Oujda;Cultural Access;Cultural Access - Police special.;2024-11-07;2025-01-11;65;377214;272551;Ongoing;N/A
1036;Amina El Fassi;63;M;Oujda;Sports Program;Sports Program - Right recent actually arrive husband.;2024-11-27;2024-12-20;23;78887;69448;Ongoing;5/5
1036;Amina El Fassi;63;M;Oujda;Travel & Leisure;Travel & Leisure - Either cold particular.;2025-02-02;2025-06-23;141;25867;22778;Pending;5/5
1037;Anas Hajji;46;F;Marrakech;Housing Finance;Housing Finance - Sense however she mission minute.;2025-03-02;2025-04-06;35;105917;50371;Ongoing;5/5
1037;Anas Hajji;46;F;Marrakech;Education Support;Education Support - Rock fund law interview risk.;2025-03-19;2025-05-17;59;203341;140506;Rejected;5/5
1037;Anas Hajji;46;F;Marrakech;Medical Aid;Medical Aid - Art billion city.;2025-06-17;2025-09-26;101;234500;94316;Pending;3/5
1037;Anas Hajji;46;F;Marrakech;Sports Program;Sports Program - Health television news.;2024-12-30;2025-03-13;73;424949;370542;Completed;4/5
1038;Khadija Benali;26;F;Tétouan;Medical Aid;Medical Aid - From surface husband discover agreement.;2025-02-17;2025-05-08;80;376817;276339;Rejected;3/5
1038;Khadija Benali;26;F;Tétouan;Housing Finance;Housing Finance - Political across wear collection PM.;2024-10-15;2024-11-12;28;375145;275385;Completed;5/5
1038;Khadija Benali;26;F;Tétouan;Education Support;Education Support - Popular economic direction effect.;2024-08-12;2025-01-25;166;213029;106671;Pending;3/5
1039;Said Hajji;44;M;Tanger;Housing Finance;Housing Finance - From audience.;2024-08-15;2024-12-02;109;276065;181641;Rejected;3/5
1039;Said Hajji;44;M;Tanger;Travel & Leisure;Travel & Leisure - Continue common.;2025-04-06;2025-06-23;78;43384;35418;Pending;4/5
1039;Said Hajji;44;M;Tanger;Travel & Leisure;Travel & Leisure - Respond understand represent poor sell.;2024-11-21;2024-12-31;40;66896;38477;Ongoing;4/5
1039;Said Hajji;44;M;Tanger;Cultural Access;Cultural Access - Difference direction about performance.;2025-05-21;2025-08-26;97;310904;176162;Rejected;4/5
1040;Omar Hajji;23;M;Rabat;Housing Finance;Housing Finance - Name marriage American star century.;2024-09-20;2024-12-21;92;367607;314408;Completed;4/5
1040;Omar Hajji;23;M;Rabat;Medical Aid;Medical Aid - Trial law.;2024-09-26;2025-03-04;159;32932;23224;Rejected;5/5
1040;Omar Hajji;23;M;Rabat;Housing Finance;Housing Finance - Take much.;2025-06-18;2025-10-01;105;120586;61075;Ongoing;5/5
1041;Said Bennani;45;M;Tanger;Cultural Access;Cultural Access - Hour in pick.;2024-09-22;2024-11-26;65;436079;308056;Ongoing;5/5
1041;Said Bennani;45;M;Tanger;Sports Program;Sports Program - Kitchen almost practice.;2024-12-25;2025-05-09;135;120021;49058;Ongoing;4/5
1041;Said Bennani;45;M;Tanger;Cultural Access;Cultural Access - Value eye sound no plan.;2025-01-06;2025-03-31;84;363139;221748;Completed;4/5
1042;Nadia El Idrissi;54;F;Tétouan;Sports Program;Sports Program - Rule argue player difficult hit.;2025-01-19;2025-05-11;112;498731;266651;Ongoing;3/5
1042;Nadia El Idrissi;54;F;Tétouan;Education Support;Education Support - Knowledge seem standard thought.;2024-11-27;2025-01-09;43;314678;256643;Completed;N/A
1042;Nadia El Idrissi;54;F;Tétouan;Sports Program;Sports Program - Off management.;2024-09-12;2024-10-03;21;178790;136652;Pending;5/5
1042;Nadia El Idrissi;54;F;Tétouan;Sports Program;Sports Program - Position term try.;2024-12-11;2025-01-04;24;70808;36257;Ongoing;5/5
1043;Samira Alaoui;43;F;Marrakech;Education Support;Education Support - Large some brother star agency.;2025-05-04;2025-05-13;9;305304;210539;Ongoing;5/5
1043;Samira Alaoui;43;F;Marrakech;Education Support;Education Support - Modern everyone interest down every.;2025-01-18;2025-05-17;119;270448;131051;Pending;3/5
1043;Samira Alaoui;43;F;Marrakech;Cultural Access;Cultural Access - Particular modern.;2025-06-28;2025-12-20;175;40626;33077;Pending;N/A
1044;Salma El Fassi;30;M;El Jadida;Sports Program;Sports Program - Training site difficult.;2025-05-05;2025-07-17;73;354064;170083;Ongoing;4/5
1044;Salma El Fassi;30;M;El Jadida;Education Support;Education Support - Tough day center beautiful.;2024-09-17;2025-02-10;146;41696;24654;Rejected;N/A
1044;Salma El Fassi;30;M;El Jadida;Cultural Access;Cultural Access - How safe.;2024-11-07;2025-01-22;76;76422;52798;Rejected;5/5
1045;Amina Hajji;22;F;Rabat;Sports Program;Sports Program - Heavy avoid worry season customer.;2024-10-13;2025-03-13;151;307508;194251;Rejected;5/5
1045;Amina Hajji;22;F;Rabat;Travel & Leisure;Travel & Leisure - Worker audience above.;2024-12-19;2025-05-14;146;273037;220979;Rejected;4/5
1045;Amina Hajji;22;F;Rabat;Medical Aid;Medical Aid - Field project their machine kid.;2025-04-14;2025-06-25;72;323929;217459;Ongoing;N/A
1045;Amina Hajji;22;F;Rabat;Cultural Access;Cultural Access - Drop remember right approach.;2025-05-02;2025-10-02;153;462439;325919;Ongoing;3/5
1046;Said Chafai;43;F;Fès;Medical Aid;Medical Aid - Talk probably easy anyone though.;2024-12-25;2025-02-24;61;494825;378705;Ongoing;3/5
1046;Said Chafai;43;F;Fès;Medical Aid;Medical Aid - Score stay tax.;2025-03-19;2025-07-07;110;41546;21691;Completed;N/A
1046;Said Chafai;43;F;Fès;Cultural Access;Cultural Access - Watch wonder none whose.;2025-01-31;2025-05-03;92;212848;132764;Ongoing;5/5
1046;Said Chafai;43;F;Fès;Medical Aid;Medical Aid - Third get.;2025-04-09;2025-07-28;110;92664;62366;Completed;3/5
1047;Samira Benali;25;F;Tanger;Medical Aid;Medical Aid - Management entire fall.;2024-12-26;2025-04-29;124;459922;412214;Completed;N/A
1047;Samira Benali;25;F;Tanger;Sports Program;Sports Program - Possible yet plan.;2025-04-19;2025-05-19;30;229408;98705;Completed;5/5
1047;Samira Benali;25;F;Tanger;Medical Aid;Medical Aid - Speech team too.;2024-11-15;2025-05-10;176;382239;192138;Ongoing;4/5
1048;Samira Bennani;63;M;Marrakech;Medical Aid;Medical Aid - Write outside.;2025-03-13;2025-05-06;54;347086;208926;Completed;4/5
1048;Samira Bennani;63;M;Marrakech;Education Support;Education Support - Issue president.;2025-01-15;2025-06-02;138;89600;41940;Completed;5/5
1048;Samira Bennani;63;M;Marrakech;Cultural Access;Cultural Access - Them everything technology.;2024-08-17;2024-10-10;54;476621;325500;Completed;3/5
1048;Samira Bennani;63;M;Marrakech;Travel & Leisure;Travel & Leisure - Necessary administration hospital.;2025-06-17;2025-11-01;137;238758;151399;Pending;3/5
1049;Fatima Hajji;37;M;Oujda;Cultural Access;Cultural Access - Never do outside teach although.;2025-03-30;2025-07-05;97;190286;125021;Completed;5/5
1049;Fatima Hajji;37;M;Oujda;Travel & Leisure;Travel & Leisure - Increase three.;2024-10-25;2024-12-25;61;265735;226255;Completed;4/5
1049;Fatima Hajji;37;M;Oujda;Education Support;Education Support - Attention film she available eat.;2024-09-05;2024-10-10;35;255684;217233;Rejected;3/5
1050;Rachid Bennani;55;M;Meknès;Housing Finance;Housing Finance - Visit rest suffer food.;2024-10-14;2024-11-19;36;402005;218342;Pending;5/5
1050;Rachid Bennani;55;M;Meknès;Education Support;Education Support - Direction almost action couple.;2025-03-26;2025-07-02;98;315120;236861;Ongoing;4/5
1050;Rachid Bennani;55;M;Meknès;Cultural Access;Cultural Access - Produce president student.;2025-03-21;2025-05-29;69;262551;109826;Ongoing;4/5
